property_id,property_type,square_footage,bedrooms,bathrooms,year_built,lot_size,neighborhood,garage_spaces,pool,fireplace,view,renovation_year,renovation_cost,distance_to_school,distance_to_hospital,distance_to_grocery_store,crime_rate,median_income,property_tax,hoa_fee,heating_type,cooling_type,foundation_type,roof_material,energy_efficiency_rating,listing_date,selling_price,selling_date,profit_margin
143,apartment,3099,5,3,1907,8.4,suburban,3,true,true,mountain,1921,36050,7.8,0.6,5.5,3.5,25147,2327,296,oil,window,basement,metal,5,3/24/2020,156542,9/15/2020,300
144,apartment,2609,1,2,1971,2.7,rural,3,false,false,city,1978,6438,6.3,1.7,6.3,2.1,149709,1819,454,oil,central,slab,metal,7,12/18/2020,56122,2/14/2020,700
145,townhouse,2484,3,1,1957,8.0,urban,2,true,true,ocean,1948,48759,3.1,3.7,10.0,7.9,123906,3004,87,electric,central,crawl space,metal,1,4/20/2022,248247,2/6/2022,400
146,townhouse,3629,3,2,1994,8.7,urban,1,false,true,city,1965,13105,8.6,0.4,1.0,0.4,83363,2430,230,electric,window,slab,tile,7,4/21/2020,237889,6/20/2022,1700
147,condo,1682,6,3,1960,6.9,rural,2,false,false,city,1920,20231,0.6,0.1,3.8,9.5,102997,3088,284,electric,none,basement,tile,4,5/22/2022,736050,5/4/2020,3500
148,house,2145,5,3,2001,3.3,urban,3,false,true,city,1950,28269,6.9,1.6,6.5,7.1,120164,4318,346,gas,central,basement,tile,3,6/24/2020,608133,2/2/2021,2000
149,apartment,950,5,4,2007,5.7,suburban,3,true,true,ocean,1990,19700,8.6,3.1,2.7,6.4,51900,3593,333,electric,none,slab,tile,6,10/23/2020,355881,2/6/2021,1700
150,townhouse,1324,3,2,2009,4.4,urban,0,true,false,ocean,1933,9756,8.2,6.0,9.6,9.6,27377,3163,170,electric,window,slab,asphalt,5,1/13/2022,868489,1/23/2021,8800
151,house,4016,6,2,2018,1.5,suburban,2,true,true,mountain,2003,30923,7.9,10.0,2.8,7.4,72875,4879,138,oil,central,basement,metal,1,7/21/2022,163778,6/18/2021,400
152,condo,2917,4,1,1910,0.2,rural,3,false,true,city,2019,33064,4.1,4.6,1.5,8.7,98998,1433,269,electric,central,basement,tile,6,12/11/2021,542574,1/9/2022,1500
153,condo,1610,6,3,1992,1.9,suburban,3,false,true,mountain,1960,46714,2.5,6.0,5.9,5.1,127527,736,491,gas,window,basement,tile,10,12/2/2021,102743,6/12/2021,100
154,apartment,910,4,1,1989,0.4,urban,0,false,true,ocean,2020,39730,8.6,2.9,5.3,8.8,60914,1662,228,gas,none,crawl space,asphalt,9,2/8/2020,525025,9/2/2022,1200
155,house,2214,2,1,2014,7.4,suburban,1,true,true,mountain,2005,48478,9.0,4.1,9.9,4.9,103260,1838,406,electric,central,crawl space,metal,9,10/12/2021,114940,6/17/2020,100
156,apartment,4453,1,4,1990,5.4,rural,2,false,false,mountain,1927,9204,3.1,2.7,6.3,1.7,66163,4277,375,electric,central,crawl space,tile,4,5/2/2022,703936,1/24/2021,7500
157,condo,4767,2,1,1953,8.3,rural,0,true,false,ocean,2004,35037,0.6,1.6,6.4,6.7,95297,880,427,oil,none,crawl space,metal,1,1/25/2021,126619,11/2/2021,200
158,townhouse,3307,2,4,1917,0.3,suburban,2,false,true,city,1930,46930,10.0,6.5,5.0,9.5,60719,1806,301,gas,none,slab,asphalt,9,3/13/2021,73453,6/1/2020,0
159,townhouse,3004,5,1,1970,0.4,urban,1,true,false,city,2004,14853,4.9,2.7,4.3,5.8,95922,2758,177,gas,central,slab,asphalt,7,11/14/2022,668254,3/22/2020,4300
160,condo,1552,5,3,1998,5.9,suburban,2,true,true,city,1988,6807,5.4,9.9,3.8,0.6,45709,4545,200,oil,window,slab,metal,3,7/10/2021,455746,10/8/2020,6500
161,townhouse,4985,4,1,1944,7.5,urban,2,false,false,city,1912,4562,7.2,9.8,7.2,3.0,67536,4362,409,electric,window,crawl space,tile,6,1/23/2020,823221,9/21/2021,17900
162,townhouse,1653,5,2,1916,4.1,suburban,2,true,false,mountain,1949,41915,3.8,9.0,6.9,9.5,65905,2344,153,gas,none,slab,metal,5,1/15/2021,865635,7/21/2020,1900
163,townhouse,1104,3,3,1970,8.1,urban,3,false,true,city,1967,32423,1.9,6.3,6.5,3.9,75423,4319,331,electric,none,crawl space,metal,4,11/22/2020,531431,3/13/2022,1500
164,apartment,1025,1,4,1933,3.4,suburban,3,true,false,city,1907,2582,9.3,5.1,3.8,7.4,24308,2167,94,gas,window,crawl space,metal,2,7/27/2022,695077,10/22/2022,26800
165,house,1839,1,4,1927,9.8,rural,0,false,true,city,2004,44462,2.8,7.8,9.5,0.3,94283,1265,309,gas,central,basement,tile,10,12/18/2022,317285,8/18/2020,600
166,condo,3898,5,1,1979,0.9,rural,1,true,false,city,1912,45054,0.5,9.3,6.2,9.2,129397,2201,177,oil,none,crawl space,tile,2,9/2/2022,824102,3/9/2020,1700
167,townhouse,3960,2,4,1976,2.6,rural,2,false,false,ocean,2021,26673,6.0,0.8,1.7,3.7,142830,2373,333,oil,central,basement,metal,5,1/26/2022,898539,2/15/2022,3200
168,townhouse,3004,1,2,1934,7.9,urban,3,false,false,mountain,1998,14281,3.6,8.1,2.3,2.2,112093,1956,54,electric,none,crawl space,tile,3,12/25/2020,983381,3/16/2021,6700
169,townhouse,1551,1,1,2006,1.4,rural,3,false,false,city,1930,16754,2.7,4.7,4.6,2.6,42346,2870,274,oil,window,crawl space,tile,9,3/20/2020,962000,1/1/2022,5600
170,apartment,4662,1,3,1918,8.3,suburban,3,false,true,ocean,1961,38929,7.1,9.4,6.0,5.9,147344,4317,355,gas,central,basement,tile,5,10/28/2022,907583,9/12/2020,2200
171,apartment,3588,2,3,1906,4.9,urban,1,true,false,mountain,1916,13380,6.9,2.3,1.6,4.1,130400,3969,320,oil,central,slab,metal,1,2/17/2020,639834,9/15/2020,4600
172,house,5000,6,2,1927,1.9,suburban,3,true,true,city,1952,11604,5.9,3.3,3.4,3.0,149852,3859,141,gas,central,crawl space,asphalt,4,1/18/2022,365695,7/5/2020,3000
173,house,4451,4,2,1954,9.0,rural,2,false,true,mountain,1919,45917,0.1,2.8,7.6,4.5,75987,3070,450,oil,window,crawl space,tile,9,9/2/2020,180055,11/14/2022,200
174,townhouse,4534,3,3,2004,6.8,urban,2,true,false,ocean,1983,12064,1.7,1.9,6.4,5.3,37658,1409,489,electric,window,basement,asphalt,2,4/1/2020,811789,3/6/2020,6600
175,house,3810,5,3,2004,5.6,rural,0,true,true,ocean,1985,40495,0.8,6.1,0.9,6.5,108316,4120,360,gas,window,slab,metal,4,2/7/2021,934749,7/5/2021,2200
176,condo,964,6,3,1949,4.5,urban,3,true,true,ocean,1947,40017,0.7,2.4,1.7,5.0,80126,1898,75,oil,window,basement,metal,9,11/7/2022,305198,8/1/2022,600
177,condo,1125,3,3,2004,6.1,urban,2,true,true,city,2016,18587,0.8,1.1,2.6,6.1,143454,2547,307,electric,none,crawl space,asphalt,9,11/23/2020,307794,8/12/2021,1500
178,condo,4039,3,3,1950,3.5,urban,1,false,false,mountain,1974,26352,3.5,3.9,2.8,8.1,81320,884,445,gas,central,slab,asphalt,6,10/7/2021,220799,7/25/2020,700
179,condo,1392,4,3,1989,2.6,rural,3,true,false,mountain,2001,43458,8.5,9.9,1.1,6.2,98286,1711,407,electric,none,crawl space,asphalt,6,4/17/2020,276081,2/5/2020,500
180,condo,1730,5,1,1908,6.3,urban,2,false,false,city,1929,2534,5.2,3.8,1.4,4.3,109461,4854,367,oil,window,crawl space,asphalt,2,9/28/2021,128319,4/28/2021,4900
181,condo,2116,3,4,2013,1.2,urban,0,false,true,ocean,1929,26675,0.1,7.4,2.2,2.1,26867,4254,135,oil,central,basement,metal,8,8/22/2021,916780,6/18/2022,3300
182,condo,1226,3,1,1937,4.2,rural,1,false,false,city,1909,15097,6.5,7.4,5.4,3.6,101405,2655,293,gas,none,crawl space,asphalt,1,10/10/2021,80049,8/28/2021,400
183,townhouse,1516,6,1,1906,9.8,suburban,3,true,true,ocean,1927,48314,5.3,5.5,3.2,8.2,105992,1838,225,gas,window,basement,metal,6,5/2/2021,469424,5/29/2021,800
184,townhouse,1143,4,4,1915,2.0,suburban,3,true,false,city,2014,5712,2.8,7.0,1.3,1.3,147062,2853,109,electric,none,slab,asphalt,8,9/26/2020,570337,5/11/2022,9800
185,house,4466,3,4,1997,1.7,urban,2,true,false,mountain,1970,18285,2.4,5.5,7.5,6.4,20831,1119,481,oil,central,basement,tile,10,10/12/2021,548868,3/12/2020,2900
186,apartment,776,5,4,1988,8.3,suburban,2,true,true,ocean,1985,15032,5.1,9.1,7.2,8.8,144270,4689,292,electric,window,slab,tile,1,4/14/2022,791778,9/20/2020,5100
187,apartment,2724,6,2,1989,3.6,rural,3,true,false,city,1959,44345,5.8,2.7,4.5,8.2,144876,2881,128,gas,central,basement,asphalt,7,6/22/2020,544248,1/25/2022,1100
188,house,571,3,1,1906,7.5,suburban,3,true,true,ocean,1948,41739,2.3,8.7,4.9,2.3,51934,4379,103,electric,central,slab,metal,7,2/20/2022,705549,10/22/2020,1500
189,apartment,3638,6,3,1955,1.9,suburban,3,true,true,city,1932,29240,7.5,4.0,1.0,0.7,137729,4381,99,oil,central,basement,metal,2,7/30/2021,910688,11/16/2020,3000
190,townhouse,869,1,3,2005,9.4,urban,1,true,true,ocean,2022,29825,1.8,1.1,6.5,5.0,77962,4543,256,oil,central,crawl space,tile,4,6/30/2022,523206,6/24/2021,1600
191,house,3657,6,2,2014,9.9,rural,2,false,false,mountain,1924,31794,7.9,5.2,4.6,0.2,34440,1424,68,oil,window,crawl space,asphalt,1,7/13/2021,769766,12/7/2021,2300
192,townhouse,2956,2,4,1982,7.9,urban,1,true,false,mountain,2012,44630,7.5,0.4,0.9,1.2,131543,4864,405,gas,central,slab,tile,8,12/18/2022,57509,12/5/2022,0
193,apartment,2103,3,2,1978,0.3,rural,2,true,false,city,2009,5429,2.4,7.7,5.5,6.0,83953,4190,360,oil,none,crawl space,metal,5,4/4/2022,996570,12/20/2021,18200
194,townhouse,3189,2,3,1924,3.8,urban,0,true,true,city,1904,42970,4.0,2.9,4.4,5.2,122113,4688,294,gas,central,crawl space,asphalt,3,4/9/2020,610250,9/30/2020,1300
195,house,3125,6,1,1978,7.3,urban,0,false,false,ocean,1990,42442,7.6,8.7,8.2,9.8,107760,3846,387,electric,none,basement,asphalt,4,9/15/2021,237732,10/2/2021,400
196,house,1339,4,3,1953,2.1,urban,1,false,true,mountain,1921,26414,1.1,2.2,0.6,6.0,25855,2714,226,gas,window,basement,tile,8,10/12/2020,893552,3/4/2022,3200
197,house,2706,6,4,1962,5.7,suburban,2,false,true,city,1938,38518,7.2,6.0,3.2,7.6,141695,598,451,gas,central,crawl space,asphalt,7,7/27/2022,973112,11/14/2021,2400
198,apartment,640,1,4,2012,6.8,urban,2,false,true,ocean,1962,39230,0.8,3.4,7.4,4.3,76482,2693,314,electric,central,crawl space,metal,5,1/18/2020,214853,7/10/2021,400
199,apartment,3493,4,1,2018,4.3,suburban,2,true,false,mountain,1970,28360,9.3,9.9,3.4,2.5,58330,4372,354,oil,central,crawl space,asphalt,10,5/29/2021,191024,5/17/2020,500
200,apartment,3050,2,1,1961,7.0,rural,2,false,true,ocean,1948,16865,6.3,5.9,0.3,3.0,78116,1930,458,oil,central,basement,tile,4,5/3/2021,231866,11/7/2022,1200
201,apartment,985,2,2,1920,3.4,suburban,2,false,false,city,1988,49042,1.3,8.1,7.7,3.0,94047,3566,399,electric,window,basement,asphalt,8,3/15/2021,967520,4/1/2022,1800
202,condo,2349,2,4,1926,8.9,rural,0,false,false,mountain,1928,14065,6.4,0.5,6.7,6.1,112853,4811,196,electric,central,crawl space,tile,7,4/30/2021,430420,5/21/2021,2900
203,apartment,4872,1,4,1955,7.0,rural,3,false,true,mountain,1941,25474,5.0,8.1,7.6,6.5,128621,1702,313,gas,window,basement,tile,7,11/8/2020,878775,2/14/2020,3300
204,house,507,6,1,1903,3.3,rural,3,true,false,ocean,1918,40846,5.0,4.2,1.7,8.2,81013,1122,296,gas,none,basement,metal,10,1/17/2022,312724,5/27/2020,600
205,house,3107,3,3,2015,1.0,urban,0,true,true,mountain,1923,36433,0.6,1.5,1.4,9.5,71455,4760,203,oil,none,crawl space,metal,6,9/26/2020,621026,12/23/2021,1600
206,house,4206,5,4,1992,0.2,rural,3,true,false,ocean,1958,7953,2.3,8.7,3.8,6.8,148391,1524,117,gas,window,slab,metal,9,4/27/2022,69377,3/24/2021,700
207,house,4812,3,2,1939,0.1,rural,1,false,false,mountain,1913,7061,6.2,6.9,7.7,0.4,49079,982,130,gas,none,basement,metal,9,3/13/2020,856178,2/20/2021,12000
208,townhouse,3989,6,2,2010,5.3,suburban,0,false,false,ocean,1922,17480,3.4,6.0,9.7,8.3,99494,3894,118,electric,central,crawl space,asphalt,7,11/5/2022,395427,6/8/2020,2100
209,townhouse,1542,3,3,1992,8.0,suburban,3,false,false,city,1989,5061,0.9,1.6,9.7,5.6,46426,2680,63,gas,none,slab,tile,6,12/4/2022,530191,11/29/2022,10300
210,townhouse,4016,5,4,1906,2.9,urban,1,true,false,mountain,1935,14225,3.6,0.7,1.7,5.3,98818,3447,222,gas,central,basement,asphalt,1,7/17/2020,324960,11/24/2021,2100
211,house,3301,3,3,1948,4.0,rural,1,true,true,city,2005,22931,0.6,5.7,1.4,8.5,126741,1281,363,oil,window,crawl space,metal,10,3/28/2020,536887,3/6/2022,2200
212,apartment,2653,2,3,1958,6.4,urban,3,false,true,mountain,1906,4689,3.9,3.7,1.9,5.8,53151,3581,209,electric,central,slab,asphalt,4,1/5/2020,912388,7/8/2021,19300
213,condo,4583,3,4,2019,8.8,rural,3,false,true,city,1930,36397,2.3,5.6,3.9,3.7,97689,1428,375,gas,central,slab,asphalt,7,7/21/2021,819965,7/15/2021,2100
214,apartment,515,6,4,1921,4.8,urban,0,false,true,mountain,1924,28672,2.5,5.2,4.3,5.2,148898,4303,75,oil,central,slab,asphalt,3,4/22/2022,210937,7/25/2020,600
215,apartment,671,5,4,1917,4.6,suburban,0,false,true,city,1900,20088,1.8,8.6,1.7,3.7,82571,4497,298,oil,central,basement,metal,4,9/22/2020,197802,4/18/2020,800
216,townhouse,1455,2,2,1947,9.6,rural,2,true,true,ocean,1916,18516,6.8,3.7,2.4,3.1,48492,977,459,oil,central,slab,metal,6,6/12/2020,648835,2/13/2021,3400
217,apartment,967,1,4,1975,4.6,rural,1,true,false,ocean,1912,13715,1.0,6.4,3.9,5.5,28431,3553,415,electric,window,basement,metal,10,9/28/2021,417656,7/10/2022,2900
218,house,4287,4,4,1928,3.9,urban,3,false,true,mountain,1923,4662,3.0,5.9,9.5,1.6,79524,1232,424,oil,none,basement,tile,8,8/26/2021,988427,5/13/2021,21100
219,condo,3266,6,2,1960,8.6,urban,2,true,true,mountain,1931,23650,7.2,2.1,0.4,1.2,32429,915,127,oil,window,basement,metal,7,10/11/2022,109494,6/25/2020,300
220,house,968,5,1,1920,6.3,urban,0,true,true,mountain,1995,28193,2.8,6.6,0.8,7.2,143643,3694,335,electric,central,slab,tile,8,4/18/2022,562536,6/23/2020,1800
221,house,1590,6,4,1955,3.6,rural,3,true,false,ocean,2001,13838,0.1,8.7,9.6,8.5,111286,1889,442,electric,window,crawl space,tile,2,9/18/2022,514693,3/25/2022,3600
222,condo,2207,5,1,1977,9.8,urban,2,false,false,mountain,1901,38134,4.9,9.1,5.0,2.6,34175,1650,293,electric,window,basement,metal,1,9/29/2022,558139,12/6/2021,1300
223,house,2247,2,2,1949,4.7,rural,1,false,true,ocean,1925,40502,0.6,3.1,7.7,9.2,143841,790,269,electric,window,basement,metal,1,1/2/2022,297243,9/21/2021,600
224,condo,2320,2,2,1974,5.0,suburban,2,true,false,city,1962,47506,9.1,6.8,1.9,2.5,86184,4941,306,gas,central,basement,metal,7,9/8/2020,858176,7/3/2020,1700
225,condo,3613,1,1,1915,6.7,urban,2,true,false,mountain,2016,25606,5.1,6.7,8.9,6.0,147166,4572,339,electric,central,crawl space,metal,9,2/17/2021,616289,6/3/2022,2300
226,townhouse,3706,4,4,1997,6.4,rural,0,false,true,city,1957,21113,5.1,6.6,9.3,2.3,138122,3723,216,gas,window,basement,asphalt,5,4/8/2022,872154,4/15/2021,4000
227,apartment,2939,2,2,1926,2.6,rural,0,false,false,city,1950,45560,1.9,2.2,4.1,8.3,88183,1278,65,gas,window,crawl space,metal,10,2/9/2021,615084,3/18/2022,1200
228,condo,2307,2,1,2006,9.7,urban,2,false,true,mountain,1967,7621,5.9,4.5,9.7,8.5,139151,3170,81,electric,none,slab,asphalt,10,8/28/2021,283898,10/11/2020,3600
229,townhouse,2743,5,4,1914,4.1,rural,3,false,true,ocean,2021,28032,5.9,8.0,7.1,9.1,98135,3625,258,electric,window,slab,tile,1,5/27/2021,928867,8/18/2022,3200
230,townhouse,4535,6,1,1995,5.7,rural,1,false,true,city,1972,24991,1.0,5.7,1.4,4.8,117781,2476,186,gas,window,slab,metal,6,4/22/2021,644710,2/2/2020,2400
231,house,4072,2,4,1946,9.4,suburban,0,true,false,ocean,1902,10395,8.4,0.6,0.7,8.3,142557,979,371,electric,central,crawl space,tile,6,10/10/2022,222927,7/20/2021,2000
232,house,3068,2,1,1939,1.8,suburban,1,false,true,mountain,1989,1784,5.5,6.5,9.3,9.3,113136,1784,305,gas,central,crawl space,tile,3,10/7/2021,360767,3/8/2021,20100
233,townhouse,1875,2,3,1920,7.6,rural,3,false,true,mountain,1931,5648,3.3,5.8,5.0,4.4,79628,3622,322,oil,central,crawl space,metal,9,1/11/2021,494531,5/17/2021,8600
234,condo,4000,4,1,1987,9.5,rural,3,true,false,city,1990,46410,8.9,3.5,8.6,6.8,73667,1213,246,gas,central,crawl space,metal,8,10/4/2020,213719,11/30/2022,300
235,apartment,1239,4,3,1990,3.2,rural,2,true,false,city,2004,26199,9.7,6.8,9.6,10.0,67656,1318,362,gas,window,crawl space,asphalt,3,1/11/2022,789446,5/11/2022,2900
236,house,1519,6,2,1994,7.4,rural,0,true,true,ocean,1929,40074,1.2,2.1,8.6,6.7,45754,2890,451,oil,central,crawl space,asphalt,3,3/23/2020,343545,4/16/2020,700
237,townhouse,3995,5,1,1931,6.7,suburban,1,true,true,mountain,1984,43442,7.7,8.6,9.2,8.9,43240,3102,233,electric,none,crawl space,metal,8,10/3/2022,616666,5/5/2022,1300
238,house,3355,4,1,2012,9.3,suburban,2,false,true,ocean,1922,3388,0.4,6.0,6.2,2.8,24449,1956,479,electric,central,basement,asphalt,1,11/9/2021,109782,5/14/2020,3100
239,condo,3501,2,3,2006,0.9,suburban,3,false,false,mountain,1938,5098,4.5,4.3,8.8,3.2,41604,2056,202,electric,none,basement,tile,1,2/19/2022,662710,12/29/2021,12800
240,house,3027,5,3,1965,1.3,suburban,1,false,true,mountain,1901,25169,2.0,5.2,3.6,3.9,132301,1886,114,electric,window,crawl space,asphalt,6,3/20/2020,435774,11/1/2021,1600
241,condo,4806,1,2,1953,5.7,suburban,1,true,false,ocean,2007,2939,8.5,7.7,1.0,6.2,49959,786,283,electric,none,slab,metal,9,11/30/2020,901400,8/19/2022,30500
242,house,1843,1,3,1938,8.9,suburban,3,false,true,ocean,1981,30703,0.4,5.0,2.3,0.9,130897,820,201,electric,central,crawl space,metal,5,2/16/2020,631859,11/8/2020,1900
243,condo,4764,5,4,2012,1.0,suburban,3,false,true,mountain,1932,26945,1.7,6.1,2.5,7.3,24075,679,169,gas,window,crawl space,asphalt,10,11/22/2021,903585,5/21/2020,3200
244,condo,580,2,4,1966,1.3,suburban,1,false,false,city,1921,6600,9.6,2.3,1.8,2.0,103443,4237,189,gas,central,basement,metal,9,3/23/2020,734449,3/26/2021,11000
245,apartment,2628,6,4,2013,4.6,suburban,3,false,true,city,1972,12037,1.0,2.1,3.0,9.8,131481,4214,86,gas,none,slab,asphalt,10,1/5/2020,724612,7/24/2022,5900
246,house,2305,4,4,1938,0.9,rural,3,true,true,mountain,2000,4189,0.5,8.4,1.8,0.9,147241,3774,251,electric,window,slab,asphalt,5,7/29/2020,417569,2/18/2022,9800
247,house,4132,5,1,1988,6.1,rural,3,false,false,mountain,1925,34402,0.5,8.6,0.9,6.1,31434,3810,334,oil,window,crawl space,metal,10,2/22/2021,214056,3/3/2021,500
248,apartment,712,4,2,2002,6.9,suburban,1,true,false,ocean,1941,38368,6.1,1.6,0.1,1.2,22452,2500,271,oil,none,crawl space,metal,1,8/7/2022,494386,1/1/2021,1100
249,townhouse,716,6,1,1985,8.2,urban,2,true,true,city,1921,13971,5.4,0.5,6.6,0.8,111287,3896,264,oil,none,slab,tile,6,2/17/2020,640081,3/20/2021,4400
250,apartment,1323,2,3,1979,9.8,rural,1,true,true,city,1960,22246,7.6,8.3,4.8,8.0,70545,2690,59,oil,window,crawl space,asphalt,9,3/30/2022,211861,2/15/2022,800
251,townhouse,4093,2,1,1971,2.5,suburban,3,false,false,city,1976,31896,6.6,3.5,2.7,7.8,97117,618,433,oil,central,slab,tile,6,3/4/2020,427705,3/15/2021,1200
252,house,4481,2,1,1989,1.4,urban,1,false,false,mountain,1910,9197,6.3,8.8,6.6,7.4,90269,2065,368,gas,window,crawl space,tile,6,8/15/2022,109115,6/3/2022,1000
253,house,4128,3,2,1977,3.4,rural,1,true,false,ocean,1980,9171,2.6,3.1,8.5,9.0,55932,1409,301,electric,none,slab,tile,6,2/26/2020,288514,10/7/2020,3000
254,condo,3665,5,1,1961,9.8,rural,3,false,false,city,1991,20505,2.2,0.4,2.9,2.4,140871,1849,397,electric,none,crawl space,metal,1,11/12/2020,974295,3/18/2022,4600
255,apartment,4833,4,1,1949,6.9,urban,1,true,true,city,1924,39292,1.5,7.5,2.6,0.2,132694,889,236,electric,window,crawl space,asphalt,6,11/10/2021,166689,3/16/2022,300
256,townhouse,1945,2,2,1974,5.1,urban,2,true,true,ocean,1961,39214,0.1,6.3,6.5,4.6,122178,1360,347,gas,central,slab,tile,7,7/8/2022,855915,9/13/2021,2000
257,house,3175,4,4,1908,8.6,suburban,3,true,false,city,1944,25397,8.8,8.0,3.0,2.7,27029,981,384,electric,central,crawl space,tile,3,4/22/2020,426662,3/10/2022,1500
258,condo,3643,2,1,1902,7.7,rural,1,true,false,ocean,1902,18377,1.9,0.2,6.0,3.8,102591,2140,170,oil,window,crawl space,metal,1,4/27/2022,583904,3/5/2020,3000
259,condo,1343,4,1,1934,4.3,urban,3,true,false,city,1940,48876,3.7,9.6,4.9,5.4,93381,3542,383,oil,window,slab,metal,6,12/12/2022,497867,4/1/2022,900
260,apartment,2890,2,2,1905,7.8,urban,0,false,false,mountain,1949,8383,1.1,2.8,5.2,1.2,138837,3754,73,gas,window,basement,metal,3,5/6/2020,424324,6/9/2021,4900
261,townhouse,2781,6,4,2005,8.7,rural,3,false,false,mountain,1956,33348,0.4,7.2,2.3,5.8,79470,2219,479,electric,window,slab,metal,8,1/10/2022,880055,6/21/2022,2500
262,townhouse,970,5,3,1925,1.7,rural,3,false,false,mountain,1913,5355,0.2,4.3,8.6,2.3,144044,3957,243,gas,none,slab,tile,1,2/24/2022,720454,5/31/2020,13300
263,apartment,3000,1,1,2017,0.7,urban,0,false,false,ocean,2015,23588,0.4,0.9,0.5,3.3,51423,3361,76,electric,none,basement,asphalt,2,11/22/2022,264852,3/24/2020,1000
264,house,1585,6,3,1973,6.3,suburban,0,false,true,city,1933,9755,6.5,9.9,4.2,1.7,79610,638,468,oil,none,crawl space,metal,9,8/30/2022,663856,7/21/2022,6700
265,apartment,1531,6,2,1987,2.1,rural,2,true,false,ocean,1938,40068,3.5,8.1,4.7,5.8,60117,3718,353,oil,none,slab,asphalt,5,9/21/2020,674286,8/5/2020,1500
266,apartment,4832,1,2,1972,5.4,rural,2,false,true,city,2011,3627,5.9,9.7,8.1,3.7,75349,644,238,gas,central,basement,asphalt,1,5/14/2020,583569,6/7/2020,15900
267,townhouse,1195,3,3,1985,9.4,rural,3,true,false,mountain,1933,1652,3.5,6.3,7.6,7.3,112478,3302,159,gas,central,basement,asphalt,6,10/23/2022,992263,11/20/2021,59900
268,apartment,2051,3,3,2001,3.4,suburban,2,true,true,city,1909,21488,5.7,8.4,1.0,2.2,34360,3525,118,oil,window,slab,tile,10,8/6/2021,417109,2/8/2020,1800
269,apartment,1569,4,2,2004,4.7,suburban,3,false,true,mountain,1981,19605,4.0,0.5,10.0,2.4,23332,4669,108,gas,window,crawl space,asphalt,1,12/6/2021,443721,4/2/2021,2100
270,apartment,2635,5,3,1927,6.3,rural,1,false,true,ocean,1956,26434,1.8,2.0,7.3,1.2,89273,3551,359,electric,none,basement,metal,3,6/8/2021,761565,2/25/2021,2700
271,apartment,1841,5,3,1948,5.2,urban,0,true,true,mountain,1999,21330,0.2,3.5,4.5,8.2,116754,3990,214,electric,none,slab,asphalt,3,1/26/2021,298043,6/5/2021,1200
272,house,3738,6,4,1949,9.2,urban,2,true,true,city,1919,12320,9.7,3.9,4.5,6.0,49551,1439,370,electric,none,basement,tile,3,2/9/2020,120759,1/21/2022,800
273,townhouse,1501,2,2,1938,9.4,urban,1,false,true,city,1946,33145,7.3,7.3,5.7,7.8,142966,3583,495,gas,central,slab,tile,6,3/6/2020,355412,7/4/2020,900
274,townhouse,2345,4,2,2020,1.6,urban,3,false,false,mountain,1996,37370,8.0,1.0,2.0,3.0,58583,3351,274,electric,none,basement,asphalt,9,6/7/2021,243108,3/12/2020,500
275,condo,3585,6,3,1915,0.6,suburban,0,false,false,mountain,1940,42081,3.1,5.6,7.4,6.0,88863,887,246,electric,window,crawl space,tile,6,7/12/2020,900911,10/8/2021,2000
276,house,746,5,3,1957,0.4,rural,3,true,true,city,2001,21043,2.1,8.6,1.8,1.8,116604,4052,426,gas,none,crawl space,tile,8,12/12/2021,697888,7/4/2021,3200
277,apartment,2997,4,4,1958,7.1,urban,2,true,true,city,1958,27263,4.9,9.9,0.4,4.4,89847,3515,298,oil,none,crawl space,asphalt,4,2/25/2022,402962,10/27/2020,1300
278,condo,3265,1,3,1998,8.7,suburban,2,true,true,city,1960,24002,2.8,0.9,1.9,1.0,34325,4024,466,electric,none,crawl space,asphalt,1,8/9/2020,257146,3/14/2021,900
279,house,3776,6,4,1943,5.2,urban,3,true,true,city,1960,16961,1.9,3.1,6.0,6.4,98268,1070,151,oil,central,crawl space,tile,4,5/29/2022,937564,1/9/2020,5400
280,townhouse,4968,1,2,1916,6.6,urban,1,false,false,city,1993,19589,9.7,3.1,3.2,9.1,110225,1928,265,gas,window,slab,asphalt,9,1/13/2020,499820,2/3/2021,2400
281,townhouse,4382,6,4,1963,5.1,rural,1,true,false,ocean,1949,32183,7.2,2.7,3.8,5.3,60799,4656,230,electric,none,crawl space,tile,8,9/10/2021,139949,6/22/2021,300
282,house,691,3,2,1952,6.0,rural,1,true,false,ocean,1979,11043,7.0,6.7,9.2,6.2,140698,1946,50,oil,none,crawl space,metal,4,3/4/2020,576417,11/20/2022,5100
283,house,506,5,2,1963,7.9,suburban,0,true,true,mountain,1989,7313,3.1,0.9,9.9,5.2,37014,1015,150,electric,none,basement,asphalt,2,10/23/2020,458375,10/16/2021,6100
284,townhouse,4305,6,3,1991,7.8,rural,0,true,true,ocean,1994,26806,1.0,2.0,1.6,4.2,20918,2987,85,gas,window,slab,metal,3,3/25/2022,176757,1/13/2020,500
285,apartment,2846,5,2,1965,6.3,urban,0,false,true,mountain,1934,18750,7.8,8.4,7.7,7.7,126127,2433,235,gas,none,slab,asphalt,8,12/11/2020,859491,4/19/2022,4400
286,apartment,4498,1,1,1902,6.0,suburban,3,true,false,city,1982,28385,0.4,9.4,5.9,9.0,32028,3056,313,oil,none,slab,tile,10,1/12/2020,953375,9/18/2020,3200
